Artist,Subgenre
Manolo Lezcano,"['salsa', 'salsa international', 'salsa venezolana']"
Manolo Muñoz,['mexican rock-and-roll']
Manos,['groove room']
Manowar,"['comic metal', 'hard rock', 'metal', 'power metal', 'speed metal', 'us power metal']"
Manse,"['big room', 'pop edm', 'progressive electro house', 'sky room']"
Mansij,['indian ambient']
Mansur Brown,"['afrofuturism', 'british jazz']"
Mansy,['deep happy hardcore']
Mantra Machine,"['dutch stoner rock', 'instrumental stoner rock', 'psychedelic doom', 'psychedelic space rock']"
Mantu Chhuria,"['odia pop', 'sambalpuri pop']"
Manu Chao,"['latin alternative', 'world']"
Manu Dibango,"['afrobeat', 'afropop', 'makossa', 'world']"
Manu Katché,"['ecm-style jazz', 'german jazz', 'jazz drums']"
Manu Militari,['hip hop quebecois']
Manu Zain,['progressive trance house']
Manual,"['ambient idm', 'deep ambient', 'indie electronica', 'nu age']"
Manudigital,['french dub']
Manuel Ascanio,['mexican rock-and-roll']
Manuel Barrueco,"['classical guitar', 'guitarra clasica']"
Manuel Boltano,['chill guitar']
Manuel Herrera,['show tunes']
Manuel Ponce,"['classical guitar', 'latin classical', 'mexican classical']"
Manuel Riva,['romanian electronic']
Manuel The Creator,['christian afrobeat']
Manuel Turizo,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Manuela Torres,['mexican rock-and-roll']
Manuelito Y Su Trabuco,['salsa peruana']
Manutti,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Manuş Baba,"['turkish pop', 'turkish rock']"
Maná,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']"
Mao Abe,"['j-pop', 'japanese singer-songwriter']"
Mao Buyi,"['chinese minyao', 'chinese singer-songwriter', 'mainland chinese pop']"
Mao Fujita,"['japanese classical performance', 'japanese classical piano']"
Maor Levi,"['progressive house', 'progressive trance', 'uplifting trance']"
Maple & Rye,['gothenburg indie']
Maple Leaf Learning,"[""children's music"", 'nursery']"
Maple Mars,['underground power pop']
Maple Syrup,['chillhop']
Maquiny,['brazilian hip hop']
Mara Balls,"['finnish indie', 'finnish psychedelic rock', 'finnish punk', 'suomi rock']"
Mara Pavanelly,['forro']
Maraca,"['salsa cubana', 'timba']"
Maral,['experimental club']
Maranda Curtis,"['contemporary gospel', 'gospel']"
Marble Arch,"['french shoegaze', 'heavy gothic rock']"
Marburg,['technical grindcore']
Marc & the Wild Ones,['neo-rockabilly']
Marc Acardipane,"['gabba', 'happy hardcore', 'hardcore techno']"
Marc Anthony,"['latin pop', 'modern salsa', 'salsa', 'tropical']"
Marc Benjamin,"['big room', 'dutch edm', 'pop dance', 'slap house', 'uk dance']"
Marc Benno,"['cosmic american', 'psychedelic folk rock']"
Marc Broussard,"['acoustic pop', 'lafayette indie']"
Marc DePulse,['deep euro house']
Marc E. Bassy,['indie pop rap']
Marc Enfroy,"['new age', 'new age piano']"
Marc Houle,"['canadian electronic', 'german techno', 'minimal techno']"
Marc Humbert & Les Blue Men,['french rock-and-roll']
Marc Kiss,['german dance']
Marc Lavoine,"['chanson', 'french pop']"
Marc Maron,['comedy']
Marc Ribot,"['experimental guitar', 'tzadik']"
Marc Romboy,"['german house', 'german techno', 'minimal techno']"
Marc Smith,"['deep happy hardcore', 'happy hardcore', 'hardcore techno']"
Marc Spence,"['bass house', 'deep groove house']"
Marc Streitenfeld,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']"
Marc Talein,['deep groove house']
Marca 361,"['corridos tumbados', 'sad sierreno']"
Marca MP,"['corrido', 'corridos tumbados', 'musica mexicana', 'norteno', 'nueva musica mexicana', 'sad sierreno', 'sierreno']"
Marcados Pagode Gospel,['samba gospel']
Marcel Barsotti,"['deep soundtrack', 'german soundtrack']"
Marcel Bontempi,"['german rockabilly', 'neo-rockabilly']"
Marcel Boungou,"['african gospel', 'french movie tunes', 'french worship']"
Marcel Boungou-Em'Bee,"['african gospel', 'french worship']"
Marcel Depuis,"['chill guitar', 'focus']"
Marcel Dettmann,"['microhouse', 'minimal techno', 'techno']"
Marcel Fengler,"['german techno', 'minimal dub', 'techno']"
Marcel Khalifa,"['arab folk', 'arabic jazz', 'lebanese pop', 'oud']"
Marcela Gandara,['latin christian']
Marcela Tais,"['adoracao', 'brazilian gospel', 'folk brasileiro']"
Marcelinho Da Lua,"['afrofuturismo brasileiro', 'sambass']"
Marcelinho De Lima,['sertanejo universitario']
Marcelinho Freitas,"['pagode', 'pagode novo']"
Marcelinho Moreira,"['samba', 'samba moderno', 'samba-enredo']"
Marcello Jonno,['japanese dance pop']
Marcello Viotti,['opera']
Marcelo & Rayane,['forro de favela']
Marcelo Aguiar,"['brazilian gospel', 'gospel antigas', 'sertanejo gospel']"
Marcelo Caldi,"['forro instrumental', 'sanfona']"
Marcelo Camelo,['nova mpb']
Marcelo D2,"['boom bap brasileiro', 'brazilian hip hop', 'brazilian rock', 'rap nacional antigo']"
Marcelo Duartte,['forro gospel']
Marcelo Falcão,['brazilian reggae']
Marcelo Jeneci,['nova mpb']
Marcelo Lima & Alessandro,['sertanejo pop']
Marcelo Markes,['brazilian gospel']
Marcelo Vasami,['dark progressive house']
Marcia,['samba paulista']
Marcia Ball,"['louisiana blues', 'modern blues', 'piano blues', 'swamp blues']"
Marcia Griffiths,"['dub', 'lovers rock', 'reggae', 'rocksteady', 'roots reggae']"
Marcianeke,"['reggaeton chileno', 'urbano chileno']"
Marciano,['sertanejo tradicional']
Marco & Mário,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Marco Antonio & Gabriel,['sertanejo pop']
Marco Antonio Solís,"['grupera', 'latin pop', 'musica mexicana', 'ranchera']"
Marco Antonio Vasquez,['mexican rock-and-roll']
Marco Antonio Vázquez,['mexican rock-and-roll']
Marco Armiliato,['opera']
Marco Bailey,"['belgian techno', 'minimal techno', 'schranz', 'techno']"
Marco Barrientos,"['latin christian', 'rock cristiano']"
Marco Brasil,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']"
Marco Carola,"['italian techno', 'minimal techno', 'techno']"
Marco Esch,['mpb gospel']
Marco Faraone,"['dark techno', 'italian techno']"
Marco Frisina,['gospel italiano']
Marco Hietala,['finnish heavy metal']
Marco Kraats,"['carnaval', 'levenslied', 'nederlandse hardstyle']"
Marco Mattoli,['samba paulista']
Marco Minnemann,"['progressive jazz fusion', 'rock drums']"
Marco Mzee,"['deep discofox', 'discofox', 'partyschlager']"
Marco Pisani,['instrumental acoustic guitar']
Marco Soriano,"['corridos tumbados', 'sad sierreno']"
Marco V,"['dutch trance', 'progressive house', 'trance', 'uplifting trance']"
Marcomé,['new age']
Marconi De Morais,['piano mpb']
Marconi Impara,"['reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
Marconi Union,['ambient']
Marcos & Belutti,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Marcos & Douglas,['sertanejo pop']
Marcos & Fernando,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Marcos Ariel,['piano mpb']
Marcos Brunet,"['latin christian', 'latin worship']"
Marcos Nunes,"['forro gospel', 'sertanejo gospel']"
Marcos Valle,"['bossa nova', 'brazilian boogie']"
Marcos Witt,['latin christian']
Marcus Abjaud,['piano mpb']
Marcus Anderson,"['deep smooth jazz', 'instrumental funk', 'smooth jazz']"
Marcus Gad,"['french reggae', 'modern reggae']"
Marcus Intalex,"['drum and bass', 'liquid funk', 'neurofunk', 'uk dnb']"
Marcus James,['canadian electronic']
Marcus King,"['modern blues', 'modern blues rock']"
Marcus Layton,['german dance']
Marcus Miller,"['electric bass', 'instrumental funk', 'jazz', 'jazz funk', 'jazz fusion']"
Marcus Mumford,['british singer-songwriter']
Marcus Santoro,['progressive trance']
Marcus Schössow,"['progressive electro house', 'progressive house']"
Marcy Chin,['dancehall queen']
Marcy Playground,"['alternative metal', 'alternative rock', 'grunge', 'pop rock', 'post-grunge']"
Marduk,"['black metal', 'death metal', 'metal', 'swedish black metal', 'swedish metal']"
Mare Cognitum,"['atmospheric black metal', 'autonomous black metal', 'blackgaze', 'cascadian black metal', 'cosmic black metal', 'portland metal', 'sci-fi metal', 'voidgaze']"
Marek Hemmann,"['german tech house', 'german techno', 'minimal tech house', 'minimal techno']"
Maren Morris,"['classic texas country', 'contemporary country']"
Maretu,"['anime rock', 'vocaloid']"
Margaret Cho,"['comedienne', 'comedy']"
Margaret Keys,['operatic pop']
Margareth Menezes,"['axe', 'samba reggae']"
Margarita Siempre Viva,"['colombian indie', 'colombian rock', 'post-punk latinoamericano']"
Margie Balter,['new age piano']
Margo Price,"['alternative country', 'folk', 'nashville americana', 'new americana', 'outlaw country']"
Margot,"['dark disco', 'minimal melodic techno']"
Mari Iijima,"['idol kayo', 'techno kayo']"
Mari Samuelsen,['experimental classical']
Maria & The Mirrors,"['deconstructed club', 'experimental club']"
Maria Bamford,"['comedienne', 'comedy']"
Maria Beraldo,"['musica campineira', 'nova mpb', 'pop lgbtq+ brasileira']"
Maria Bethânia,"['bossa nova', 'mpb', 'samba de roda', 'umbanda']"
Maria Callas,"['classical', 'classical soprano', 'opera']"
Maria Cecília & Rodolfo,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Maria Clara,['forro']
Maria Daniela Y Su Sonido Lasser,"['electro latino', 'latin alternative', 'mexican rock']"
Maria Del Sol,"['blues mexicano', 'mexican rock-and-roll', 'ranchera']"
Maria Gadú,"['mpb', 'nova mpb', 'umbanda']"
Maria João Pires,"['classical performance', 'classical piano']"
Maria Lucia,['brazilian jazz']
Maria Luiza Jobim,"['nova mpb', 'nova musica carioca']"
Maria Maksakova,['russian romance']
Maria Marçal,['brazilian gospel']
Maria Medina,['mexican rock-and-roll']
Maria Mena,"['candy pop', 'norwegian pop', 'norwegian singer-songwriter']"
Maria Nayler,['vocal trance']
Maria Rita,"['bossa nova', 'mpb', 'pagode', 'samba']"
Maria Taylor,"['alabama indie', 'deep acoustic pop']"
Mariah Angeliq,"['rap latina', 'trap latino', 'urbano latino']"
Mariah Carey,"['dance pop', 'pop', 'urban contemporary']"
Mariah the Scientist,['alternative r&b']
Marian Hill,['electropop']
Mariana & Mateus,"['sertanejo pop', 'sertanejo universitario']"
Mariana Aguiar,['mpb gospel']
Mariana Aydar,['nova mpb']
Mariana BO,['mexican edm']
Mariana Fagundes,['sertanejo pop']
Mariana Mallol,"['cancion infantil latinoamericana', 'musica para ninos']"
Mariana Nolasco,['nova mpb']
Marianas Rest,"['finnish death metal', 'finnish doom metal', 'finnish melodeath', 'melodic doom']"
Marianas Trench,"['canadian rock', 'neon pop punk', 'pixie', 'pop punk']"
Marianne Faithfull,"['british invasion', 'folk', 'singer-songwriter']"
Marianne Kock,"['swedish rock-and-roll', 'vintage swedish pop']"
Mariano Civico,"['salsa', 'salsa colombiana']"
Mariano Merceron,"['danzon', 'mexican rock-and-roll']"
Maribou State,"['electronica', 'future garage', 'indie soul']"
Maricel,['german show tunes']
Marie Antoinette (Original Soundtrack),['german show tunes']
Marie Davidson,"['canadian electronic', 'electra']"
Marie Knight,['acoustic blues']
Marie Käfer,['partyschlager']
Marie Love,['gospel r&b']
Marie Misamu,"['african gospel', 'congolese gospel']"
Marie-Nicole Lemieux,"['classical contralto', 'opera']"
Marie-Pierre Arthur,"['indie quebecois', 'pop quebecois']"
Mariee Sioux,"['ambient folk', 'new weird america']"
Mariel Buckley,"['calgary indie', 'canadian singer-songwriter']"
Marielle Labèque,['french classical piano']
Mariene De Castro,"['samba', 'umbanda']"
Marietta,"['alternative emo', 'diy emo', 'emo', 'midwest emo', 'philly indie']"
Marigold,['chill abstract hip hop']
Mariinsky Chorus,['opera chorus']
Marija Narovskaja,['russian romance']
Marijana Mijanovic,"['classical contralto', 'opera']"
Marijata,"['afrobeat', 'classic afrobeat']"
Marika Hackman,['ambient folk']
Marika Lichter,['german show tunes']
Marika Takeuchi,['japanese piano']
Marilia Medalha,['samba-jazz']
Marilyn Horne,"['classical mezzo-soprano', 'opera']"
Marilyn Manson,"['alternative metal', 'hard rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']"
Marimba Cuquita,"['marimba mexicana', 'mexican rock-and-roll']"
Marin Marais,"['baroque', 'classical', 'early music', 'french baroque']"
Marina Iris,"['nova mpb', 'samba moderno']"
Marina Lima,"['mpb', 'rock nacional brasileiro']"
Marina P,['dub reggae']
Marina Prior,['operatic pop']
Marina Sena,"['nova mpb', 'pop lgbtq+ brasileira']"
Marinalva,['forro tradicional']
Marine Girls,"['c86', 'tape club', 'twee pop', 'uk post-punk']"
Marine Research,"['c86', 'tape club', 'twee pop']"
Marinella Necchi,['background piano']
Marines,"['forro', 'forro tradicional']"
Marino Formenti,['contemporary classical piano']
Marinês,['forro tradicional']
Marinês E Sua Gente,['forro tradicional']
Mario,"['dance pop', 'r&b', 'southern hip hop', 'urban contemporary']"
Mario Bautista,"['latin viral pop', 'mexican pop', 'reggaeton mexicano']"
Mario Biondi,"['italian adult pop', 'italian jazz']"
Mario Bradley,"['neo-rockabilly', 'uk rockabilly']"
Mario Castelnuovo-Tedesco,"['classical guitar', 'early modern classical', 'impressionism']"
Mario Crespo Martinez,['salsa cubana']
Mario Domm,['funk mexicano']
Mario Frangoulis,['operatic pop']
Mario Ian,['argentine heavy metal']
Mario Ortiz Y Su Orquesta,"['salsa', 'salsa international']"
Mario Pintor,['mexican rock-and-roll']
Mario Sergio,"['pagode', 'pagode novo', 'samba', 'samba-enredo']"
Mario VI,"['latin hip hop', 'reggaeton']"
Mario del Monaco,"['classical tenor', 'italian tenor', 'opera']"
Maris Racal,"['acoustic opm', 'opm', 'p-pop']"
Marisa Anderson,"['ambient country', 'american primitive', 'cascadia psych', 'drone folk', 'experimental psych', 'pastoral']"
Marisa Monte,['mpb']
Marisela,"['latin pop', 'ranchera']"
Marissa Nadler,"['ambient folk', 'melancholia', 'new weird america', 'spectra']"
Marissa O'Donnell,['show tunes']
Mariya Takeuchi,"['classic city pop', 'idol kayo', 'japanese singer-songwriter']"
Marizu,"['christian afrobeat', 'rap chretien']"
Marjorie Estiano,"['axe', 'brazilian rock', 'mpb', 'pop rock brasileiro']"
Mark & Lukas,['progressive trance house']
Mark & Sarah Tillman,"['ambient worship', 'anthem worship', 'christian pop', 'pop worship']"
Mark 'Oh,"['bubble trance', 'eurodance', 'german techno']"
Mark Archer,['acid idm']
Mark Asari,['gospel drill']
Mark Ashley,"['italian disco', 'new italo disco']"
Mark Battles,['indiana hip hop']
Mark Benson,['piano cover']
Mark Bishop,['southern gospel']
Mark Breeze,"['bouncy house', 'deep happy hardcore']"
Mark Broom,"['minimal techno', 'techno']"
Mark Brymer,"[""preschool children's music""]"
Mark Chesnutt,"['country', 'country road']"
Mark Debonis,['new comedy']
Mark Dekoda,['dark techno']
Mark Delaney,['instrumental bluegrass']
Mark Eliyahu,['turkish instrumental']
Mark Eteson,['progressive house']
Mark Farina,"['chicago house', 'deep funk house', 'electro jazz']"
Mark Forster,['german pop']
Mark Grundhoefer,['instrumental acoustic guitar']
Mark Heard,"['deep christian rock', 'jesus movement']"
Mark Howard,['instrumental bluegrass']
Mark Johnson,['underground power pop']
Mark Keeley's Good Rockin' Tonight,['uk rockabilly']
Mark Knight,"['house', 'progressive house', 'tech house', 'uk house']"
Mark Kroos,['instrumental acoustic guitar']
Mark Lanegan,"['acoustic rock', 'garage rock', 'palm desert scene']"
Mark Looney,['new age piano']
Mark Lower,['groove room']
Mark Lowry,['southern gospel']
Mark Masri,"['canadian pop', 'operatic pop']"
Mark Morris,['dark minimal techno']
Mark Morrison,['british soul']
Mark Morton,['modern hard rock']
Mark Normand,['new comedy']
Mark O'Connor,"['bluegrass fiddle', 'jazz violin', 'progressive bluegrass']"
Mark Pinkus,['new age piano']
Mark Pritchard,"['australian ambient', 'australian experimental', 'intelligent dance music', 'uk bass', 'wonky']"
Mark Reeve,"['deep minimal techno', 'frankfurt electronic', 'tech house']"
Mark Reyzen,['russian romance']
Mark Roswell Trio,['background jazz']
Mark Sander,"['deep discofox', 'discofox', 'partyschlager']"
Mark Schatz,['instrumental bluegrass']
Mark Seibert,['german show tunes']
Mark Selby,"['modern blues', 'power blues-rock']"
Mark Sherry,"['hard trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Mark Sixma,"['dutch trance', 'progressive house', 'trance', 'uplifting trance']"
Mark Trammell,['southern gospel']
Mark Trammell Quartet,['southern gospel']
Mark Van Dale,['dutch trance']
Mark Vincent,['operatic pop']
Mark Wills,"['contemporary country', 'country', 'country road']"
Mark With a K,"['belgian edm', 'euphoric hardstyle', 'jumpstyle']"
Mark Wynter,"['merseybeat', 'rock-and-roll']"
Markantonio,"['deep minimal techno', 'italian techno']"
Marko Hietala,['finnish heavy metal']
Marko Silva,['reggaeton flow']
Markolino Dimond,"['latin jazz', 'salsa international']"
Markscheider Kunst,['russian ska']
Marksman,"['dancehall', 'jamaican dancehall', 'jamaican hip hop', 'traphall']"
Marku Ribas,"['partido alto', 'samba']"
Markus Becker,"['discofox', 'partyschlager', 'schlager']"
Markus Schulz,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance']"
Markéta Irglová,"['chamber folk', 'czech singer-songwriter', 'melancholia']"
Marla Singer,"['minimal dub', 'raw techno']"
Marlon & Maicon,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']"
Marlon Easy,['dancehall']
Marlon Hoffstadt,['deep euro house']
Marlon Williams,"['nz folk', 'nz pop', 'nz singer-songwriter']"
Marlow Rosado,['salsa puertorriquena']
Marmalade,"['british blues', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']"
Marmalade butcher,['japanese math rock']
Marmozets,"['british alternative rock', 'modern alternative rock', 'pixie']"
Marnik,['dutch house']
Maroon 5,['pop']
Maroon Town,"['dub punk', 'ska', 'ska jazz', 'ska revival', 'traditional ska']"
Marquez The Greatest,['black comedy']
Marquinho China,"['roda de samba', 'samba moderno']"
Marquinho Sathan,"['pagode', 'samba', 'samba moderno', 'samba-enredo']"
Marquinhos Gomes,['brazilian gospel']
Marquinhos Sensação,"['pagode', 'pagode novo', 'samba moderno']"
Marquinhos de Oswaldo Cruz,['samba moderno']
Marrasmieli,"['atmospheric black metal', 'finnish black metal']"
Marry,"['discofox', 'partyschlager']"
Mars Attacks,['neo-rockabilly']
Mars Lasar,['new age']
Mars Red Sky,"['french stoner rock', 'instrumental stoner rock', 'psychedelic doom', 'psychedelic space rock', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']"
Marsa,"['nova mpb', 'nova musica pernambucana']"
Marsal Ventura,['electro latino']
Marsh,['progressive house']
Marsha Ambrosius,"['british soul', 'contemporary r&b', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
Marshall Crenshaw,"['jangle pop', 'power pop', 'underground power pop']"
Marshall Family,"['bluegrass gospel', 'family gospel']"
Marshall Jefferson,"['acid house', 'chicago house', 'classic house']"
Marshall Masters,"['belgian dance', 'gabba', 'happy hardcore', 'hardcore techno', 'jumptek']"
Marshall Munhumumwe,"['chimurenga', 'sungura', 'zim urban groove']"
Marshall Styler,['new age']
Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']"
Mart,['groove room']
Mart'nália,"['bossa nova', 'mpb', 'samba']"
Marta Gómez,['cancion infantil latinoamericana']
Marta Jobim,['chill guitar']
Marta Pereira da Costa,"['fado', 'fado instrumental', 'guitarra portuguesa', 'persian alternative']"
Marta Sánchez,"['latin pop', 'spanish pop']"
Marteria,"['german hip hop', 'german pop']"
Martha Argerich,"['classical', 'classical performance', 'classical piano', 'latin american classical piano']"
Martha Carson,['vintage rockabilly']
Martha Munizzi,['gospel']
Martha Tilton,"['british dance band', 'deep adult standards', 'swing', 'vintage jazz']"
Martha Wainwright,['singer-songwriter']
Marthyan,['malayalam hip hop']
Marti Brom & Her Rancho Notorious,['swedish rockabilly']
Marti West,"['gothenburg indie', 'modern indie folk', 'swedish indie folk']"
Martin Bravi,['gym hardstyle']
Martin Buttrich,"['german techno', 'minimal tech house', 'minimal techno']"
Martin Fröst,"['classical clarinet', 'classical performance']"
Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']"
Martin Gore,"['ambient techno', 'synthpop']"
Martin Helmchen,['german classical piano']
Martin Ikin,"['deep groove house', 'house', 'uk dance']"
Martin James Bartlett,['british classical piano']
Martin Jensen,"['danish electronic', 'edm', 'pop dance', 'tropical house']"
Martin Jondo,['german reggae']
Martin Jones,['british classical piano']
Martin Kerr,"['bahai', 'edmonton indie']"
Martin Kohlstedt,['neo-classical']
Martin Lawrence,['black comedy']
Martin Luther Lennon,['underground power pop']
Martin Phipps,"['british soundtrack', 'orchestral soundtrack', 'soundtrack']"
Martin Roscoe,['british classical piano']
Martin Shamoonpour,['iranian experimental']
Martin Short,['canadian comedy']
Martin Solveig,"['disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'tropical house', 'vocal house']"
Martin Stadtfeld,"['classical piano', 'german classical piano']"
Martin Taylor,['jazz guitar']
Martin and Rose Music,"[""preschool children's music""]"
Martin and the Vampires,['swedish grindcore']
Martina McBride,"['contemporary country', 'country', 'country dawn', 'country road']"
Martina Topley-Bird,"['solo wave', 'trip hop']"
Martinho Da Vila,"['mpb', 'pagode', 'samba', 'umbanda']"
Martins,['nova mpb']
Martiria,['italian heavy metal']
Marty Stuart,"['classic country pop', 'country', 'country rock']"
Marty Stuart And His Fabulous Superlatives,['steel guitar']
Marty Wilde,"['brill building pop', 'merseybeat', 'rock-and-roll']"
Martyn,"['classic dubstep', 'float house', 'footwork', 'future garage', 'microhouse', 'uk bass', 'wonky']"
Maru Gomes,['background piano']
Marumari,"['abstract', 'deep idm', 'intelligent dance music']"
Marusha,"['bubble trance', 'happy hardcore']"
Maruta,"['deathgrind', 'florida death metal', 'grindcore', 'miami metal']"
Marvel Boy,"['reggaeton flow', 'trap latino', 'urbano latino']"
Marvel Riot,['deep groove house']
Marvelous 3,['grunge pop']
Marvelus Fame,['trap latino']
Marvia Providence,['gospel reggae']
Marvin Rainwater,"['rockabilly', 'traditional rockabilly']"
Marvin Santiago,['salsa']
Marvin Sapp,['gospel']
Marvin Winans,"['gospel', 'gospel r&b']"
Marvvila,['pagode novo']
Marwa Loud,"['francoton', 'french hip hop', 'pop urbaine']"
Mary Chapin Carpenter,"['country', 'country rock', 'ectofolk', 'folk', 'lilith', 'singer-songwriter']"
Mary D'Arcy,"[""children's story""]"
Mary Gauthier,"['alternative country', 'ectofolk', 'folk', 'queer country', 'singer-songwriter', ""women's music""]"
Mary J. Blige,"['dance pop', 'neo soul', 'r&b', 'urban contemporary']"
Mary Jane Girls,"['classic soul', 'disco', 'freestyle', 'funk', 'motown', 'new jack swing', 'p funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Mary Lattimore,"['art pop', 'electra', 'experimental ambient', 'jazz harp', 'pastoral', 'spectra']"
Mary Lou Stephens,['piano cover']
Mary Louise Griffith,['new age piano']
Mary Mary,"['gospel', 'gospel r&b']"
Mary S.K.,['groove room']
Mary Thienes Schunemann,"[""children's folk""]"
Mary's Blood,"['idol rock', 'japanese power metal', 'kawaii metal']"
Mary-Jess,['operatic pop']
MaryLee,"[""children's folk""]"
Marya Adé,"['african gospel', 'french worship', 'louange']"
Marz23,"['mandopop', 'taiwan hip hop']"
Marçal,"['samba', 'samba moderno', 'samba-enredo']"
María Elena Walsh,"['cancion infantil latinoamericana', 'musica para ninos']"
María José,"['latin pop', 'mexican pop']"
Marília Mendonça,"['arrocha', 'sertanejo', 'sertanejo universitario']"
Masaaki Kishibe,['japanese guitar']
Masaharu Fukuyama,"['classic j-pop', 'j-acoustic', 'j-pop', 'japanese singer-songwriter']"
Masakatsu Takagi,"['anime score', 'j-ambient', 'japanese soundtrack']"
Masako,"['japanese piano', 'new age piano']"
Masala Coffee,"['indian folk', 'malayalam pop', 'mollywood']"
Masaru Yokoyama,['anime score']
Masayoshi Fujita,"['experimental ambient', 'fourth world', 'j-ambient']"
Masayoshi Oishi,"['anime', 'anime rock']"
Masayoshi Yamazaki,"['j-acoustic', 'j-pop', 'japanese blues', 'japanese singer-songwriter']"
Masayuki Suzuki,['classic j-pop']
Mascara,"['american shoegaze', 'grungegaze']"
Mascarpone,['dark clubbing']
Mascots,['swedish rock-and-roll']
Masdo,['malaysian indie']
Mase,"['contemporary r&b', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']"
Masego,"['alternative r&b', 'indie soul']"
Masha y el Oso,"['cancion infantil latinoamericana', 'musica para ninos']"
Mashiro Ayano,"['anime', 'j-pixie']"
Masicka,"['dancehall', 'jamaican dancehall', 'traphall']"
Maskatesta,"['latin alternative', 'latin ska', 'mexican rock', 'ska mexicano']"
Maskavo,"['brazilian reggae', 'rock gaucho']"
Masked Intruder,"['orgcore', 'power-pop punk', 'ramonescore', 'skate punk']"
Masked Wolf,['australian hip hop']
Masmorra,['brazilian heavy metal']
Mason Ramsey,"['contemporary country', 'country']"
Mass Digital,"['dark minimal techno', 'organic house', 'serbian electronic']"
Mass Hysteria,"['french metal', 'french punk', 'french rock', 'neo metal']"
Massacre,"['brutal death metal', 'death metal', 'deathgrind', 'florida death metal', 'jazz metal', 'thrash metal']"
Massaka,"['turkish hip hop', 'turkish trap']"
Massane,['organic house']
Massano,['melodic techno']
Massimo Pavoni,['background piano']
Massive Attack,"['downtempo', 'electronica', 'trip hop']"
Massive B,['jamaican dancehall']
Massive Wagons,"['modern hard rock', 'nwocr']"
Masta Killa,['east coast hip hop']
Master C & J,"['chicago house', 'classic house']"
Master Joe,"['latin hip hop', 'reggaeton']"
Master KG,"['bolobedu house', 'south african house']"
Masterkraft,"['afrobeats', 'afropop', 'nigerian pop']"
Masterplan,"['german metal', 'german power metal', 'power metal', 'progressive metal', 'symphonic metal']"
Masters,"['classic disco polo', 'disco polo']"
Masters At Work,"['classic house', 'deep house', 'diva house', 'garage house', 'vogue']"
Masters of Ceremony,"['dark hardcore', 'gabba', 'happy hardcore', 'hardcore techno']"
Masterstroke,['finnish heavy metal']
Mastifal,"['argentine heavy metal', 'argentine metal']"
Mastodon,"['alternative metal', 'atlanta metal', 'metal', 'nu metal', 'progressive groove metal', 'progressive sludge', 'sludge metal', 'stoner metal', 'stoner rock']"
Maston,"['psychedelic folk rock', 'psychedelic pop']"
Mastruz Com Leite,"['axe', 'carimbo', 'forro']"
Masya Masyitah,['malaysian pop']
Mat Kearney,"['acoustic pop', 'neo mellow']"
Mat Kerekes,"['alternative emo', 'anthem emo', 'dreamo', 'emo']"
Mat McHugh,['folk-pop']
Mat Sinner,['german heavy metal']
Mat Zo,"['complextro', 'edm', 'electro house', 'progressive house']"
Mat.Joe,"['deep disco house', 'house']"
Mat4yo,['anime rap']
Matador,"['irish electronic', 'irish techno', 'minimal techno', 'tech house', 'techno']"
Matadoria,['malayalam pop']
Matan Caspi,"['dark progressive house', 'israeli techno', 'progressive trance house']"
Matanza,"['brazilian punk', 'brazilian rock', 'cowpunk', 'hard rock brasileiro']"
Matata,"['afro psych', 'afrobeat']"
Matchbook Romance,"['neon pop punk', 'pop punk', 'screamo']"
Matchbox,"['rockabilly', 'uk rockabilly']"
Matchbox Twenty,"['neo mellow', 'pop rock', 'post-grunge']"
Mateo & Matos,"['chicago house', 'classic house', 'deep funk house', 'deep house']"
Mateo Brooks,['acoustic cover']
Material Issue,"['jangle pop', 'power pop', 'underground power pop']"
Mateus Aleluia,"['brazilian indie', 'nova mpb']"
Mateus Macedo & Forró Na Unção,['forro gospel']
Mateus e Cristiano,['sertanejo universitario']
