Artist,Subgenre
:Wumpscut:,"['aggrotech', 'dark wave', 'ebm', 'electro-industrial', 'industrial metal', 'industrial rock', 'power noise']"
? & The Mysterians,"['chicano punk', 'classic garage rock', 'detroit rock', 'protopunk']"
A Banda Mais Bonita da Cidade,"['brazilian indie', 'folk brasileiro', 'indie curitibano', 'nova mpb', 'rock curitibano']"
A Certain Ratio,"['dance rock', 'sophisti-pop', 'uk post-punk']"
A Change of Pace,"['neon pop punk', 'pop emo', 'screamo']"
A Cor Do Som,"['bossa nova', 'mpb', 'pop nacional antigas']"
A Dama,['pagode baiano']
A Day To Remember,"['alternative metal', 'metalcore', 'pop punk', 'screamo']"
A Fine Frenzy,"['acoustic pop', 'lilith', 'neo mellow']"
A Forest Mighty Black,['trip hop']
A Forest Of Stars,"['atmospheric black metal', 'black metal', 'british black metal', 'post-black metal', 'voidgaze']"
A Giant Dog,"['austin rock', 'texas punk']"
A Global Threat,"['anarcho-punk', 'boston punk', 'crack rock steady', 'crust punk', 'hardcore punk', 'oi', 'street punk']"
A Great Big Pile of Leaves,"['alternative emo', 'brooklyn indie', 'emo', 'midwest emo']"
A Great Big World,"['neo mellow', 'piano rock', 'pop rock', 'viral pop']"
A Invasão,['pagode baiano']
A Lancha,['pagode baiano']
A Lot Like Birds,"['progressive post-hardcore', 'sacramento indie']"
A MILLION DEAD BIRDS LAUGHING,"['necrogrind', 'technical grindcore']"
A Mose,['christian afrobeat']
A Night In Texas,"['brutal deathcore', 'deathcore', 'melodic metalcore', 'progressive deathcore']"
A Niu,"['malaysian mandopop', 'mandopop']"
A Number Of Names,"['detroit techno', 'proto-techno']"
A Pale Horse Named Death,"['gothic metal', 'nyc metal']"
A Perfect Circle,"['alternative metal', 'alternative rock', 'nu metal', 'rock', 'supergroup']"
A Perfect Murder,"['canadian metal', 'canadian metalcore', 'groove metal']"
A R I Z O N A,"['electropop', 'indie poptimism', 'tropical house']"
A Rocket To The Moon,"['neon pop punk', 'pixie', 'pop punk']"
A Sense of Purpose,"['american metalcore', 'metalcore']"
A Skylit Drive,"['melodic metalcore', 'metalcore', 'neon pop punk', 'pixie', 'pop punk', 'screamo']"
A Taste Of Honey,"['boogie', 'disco']"
A Tribe Called Quest,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']"
A VOID,['grunge revival']
A Wake A Week,['abstract idm']
A Wilhelm Scream,"['melodic hardcore', 'orgcore', 'skate punk']"
A Winged Victory for the Sullen,"['ambient', 'compositional ambient', 'drone', 'pastoral']"
A$AP ANT,"['baltimore hip hop', 'drill', 'underground hip hop']"
A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
A$AP Mob,"['hip hop', 'rap', 'southern hip hop', 'trap']"
A$AP Pokimane,"['aesthetic rap', 'sad lo-fi']"
A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
A*S*Y*S,"['dark techno', 'raw techno']"
A-Lin,['mandopop']
A-Lusion,"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']"
A-Mei Chang,['mandopop']
A-RIZE,['euphoric hardstyle']
A-SHO,['canadian electronic']
A-Trak,"['canadian electronic', 'edm', 'electro house', 'electronic trap', 'turntablism']"
A-do,"['mandopop', 'singaporean mandopop', 'singaporean pop']"
A. Kanyakumari,"['carnatic', 'carnatic instrumental', 'indian classical', 'indian violin']"
A. Rassevich,"['groove room', 'russian edm']"
A.A. Williams,['ambient pop']
A.B. Chediski,['instrumental acoustic guitar']
A.B.I,['malayalam hip hop']
A.C.E,"['k-pop', 'k-pop boy group']"
A.K.A. Pella,['jewish pop']
A.L.I.S.O.N,['chillsynth']
A.M.R,"['arab electronic', 'progressive trance house']"
A.N.I.M.A.L.,"['argentine heavy metal', 'argentine rock', 'latin metal']"
A.Paul,"['dark minimal techno', 'portuguese techno', 're:techno', 'schranz']"
A.R.B.,['japanese rockabilly']
A.Skillz,['breakbeat']
A.r.d.i.,"['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
A1 x J1,"['chill drill', 'melodic drill']"
A2h,"['french hip hop', 'rap calme', 'rap conscient']"
A7S,"['pop dance', 'scandipop', 'uk dance']"
AAA,['j-pop']
AAAMYYY,"['japanese alternative rock', 'japanese electropop', 'japanese r&b']"
AB6IX,"['k-pop', 'k-pop boy group']"
ABBA,"['europop', 'swedish pop']"
ABC Kids,"[""australian children's music""]"
AC Slater,"['bass house', 'brostep', 'fidget house']"
AC/DC,"['australian rock', 'hard rock', 'rock']"
ACHARYA,['indian underground rap']
ACHINX,['indian lo-fi']
ACID MOTHERS TEMPLE,"['japanese psychedelic', 'japanese psychedelic rock']"
ACIDMAN,"['j-rock', 'japanese emo']"
ACOURVE,"['k-indie', 'korean pop']"
ACRAZE,['pop dance']
ACTION,['japanese heavy metal']
ACTORS,"['canadian post-punk', 'dark post-punk', 'modern goth']"
ACxDC,"['american grindcore', 'crust punk', 'grindcore', 'powerviolence']"
ADGRMS,['indian edm']
ADK Srirascol,"['desi hip hop', 'malaysian tamil pop', 'tamil hip hop', 'tamil pop']"
ADL,['brazilian hip hop']
ADOY,"['k-indie', 'korean city pop', 'korean dream pop', 'korean electropop', 'korean indie rock']"
ADSO,"['trap latino', 'trap venezolano', 'urbano latino', 'venezuelan hip hop']"
AES DANA,"['ambient psychill', 'ambient trance', 'psychill']"
AFFKT,"['deep disco house', 'deep minimal techno', 'deep tech house']"
AFI,"['alternative metal', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'screamo']"
AFK,['industrial hip hop']
AFROJACK,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']"
AGA,['cantopop']
AGGE,['gothenburg indie']
AGLORY,['dark clubbing']
AH*NEE*MAH,"['native american', 'new age']"
AHI,['canadian folk']
AI,['j-pop']
AILEE,['k-pop']
AIRMANN,['dark clubbing']
AIROD,"['acid techno', 'french techno', 'raw techno']"
AJ Ghent [ j-ent ],"['sacred steel', 'steel guitar']"
AJ Tracey,"['grime', 'uk hip hop', 'ukg revival']"
AJJ,"['acoustic punk', 'anti-folk', 'folk punk', 'pov: indie']"
AJP,['sad lo-fi']
AJR,['pov: indie']
AK,['chillstep']
AK AUSSERKONTROLLE,['german hip hop']
AKA,"['kasi rap', 'south african hip hop', 'south african pop']"
AKA AKA,['deep euro house']
AKAIKO-EN,"['j-rock', 'japanese alternative rock']"
AKB48,"['48g', 'j-idol', 'j-pop', 'j-pop girl group']"
AKKI (DE),['dark techno']
AKMU,['k-pop']
AKVMA,"['dubstep', 'tearout']"
AL-90,"['ambient house', 'russian electronic']"
ALEXYZZ,['gym hardstyle']
ALIA LARA,['gospel r&b']
ALICE,['k-pop girl group']
ALL OFF,"['j-poprock', 'japanese pop punk']"
ALPHA 9,"['progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance']"
ALVABEAT,['dark clubbing']
ALYPH,"['malaysian hip hop', 'malaysian pop', 'singaporean hip hop']"
AM Radio,['grunge pop']
AMAN,['indian lo-fi']
AMARIA BB,"['dancehall queen', 'jamaican dancehall']"
AMAZONDOTCOM,"['deconstructed club', 'electra', 'experimental bass', 'grimewave']"
AMONGST THE ASHES,['iranian metal']
AN21,['progressive electro house']
ANAVITÓRIA,"['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional']"
ANC4,['modern power pop']
ANDONIS,['gym hardstyle']
ANDY SVGE,"['euphoric hardstyle', 'rawstyle']"
ANGRA,"['brazilian metal', 'brazilian power metal', 'brazilian progressive metal', 'latin metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'progressive power metal', 'speed metal', 'symphonic metal']"
ANIMAL HACK,['japanese dance pop']
ANIMETAL,['japanese heavy metal']
ANIZYZ,['gym hardstyle']
ANNA,"['brazilian techno', 'dark techno', 'electra', 'minimal techno']"
ANNÁ,['nova mpb']
ANOTR,['dutch tech house']
